Key,File,Type,english

hydroponicWick,items,item,"Hydroponic Wick"
hydroponicWickDesc,items,item,"An indoor hydroponics assembly capable of producing [00ff80]120 crops per yield[-].\n\nA Hydroponic Wick [ff8000]isn't quite as efficient as a Hydroponic Rack or an experienced farmer would be when tending to Farm Plots outside[-], but it is [00ff80]easier and safer to maintain thanks to operating indoors[-]."
hydroponicRack,items,item,"Hydroponic Rack"
hydroponicRackDesc,items,item,"A larger but more efficient indoor hydroponics assembly capable of producing [00ff80]288 crops per yield[-].\n\nA Hydroponic Rack is [00ff80]more efficient than a Hydroponic Wick[-] but [ff8000]isn't quite as effective as an experienced farmer would be when tending to Farm Plots outside[-]. That said, it's still [00ff80]easier and safer to maintain thanks to operating indoors[-]."

lblCategoryHydroponicWick,UI,Tooltip,"120-Crop Bundles"
lblCategoryHydroponicRack,UI,Tooltip,"288-Crop Bundles"

resourceWaterReservoir,items,item,"Water Reservoir"
resourceWaterReservoirDesc,items,item,"A large water basin used by [ff8000]Hydroponic Wicks[-] and [ff8000]Racks[-] to filter and secure excess water on the way to to be pumped to plants."
resourceWaterLine,items,item,"Water Line"
resourceWaterLineDesc,items,item,"A small line used to circulate water and ensure plant growth in [ff8000]Hydroponic Wicks[-] and [ff8000]Racks[-]."
resourceGrowLight,items,item,"Grow Light"
resourceGrowLightDesc,items,item,"A type of lighting made to emulate the sun.\n\nA necessary component for constructing [ff8000]Hydroponic Wicks[-] and [ff8000]Racks[-] but is useless on its own."

resourceFertilizer,items,item,"Fertilizer"
resourceFertilizerDesc,items,item,"A necessary resource for crop growth in [ff8000]Hydroponic Wicks[-] and [ff8000]Racks[-]; compost certain repulsive materials in a [ff8000]Cement Mixer[-] to produce this plant-healthy mixture."

foodCropBlueberriesSmallBundle,items,item,"Small Blueberry Bundle"
foodCropBlueberriesSmallBundleDesc,items,item,"A bundle of 120 Blueberries which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropAloeLeafSmallBundle,items,item,"Small Aloe Bundle"
resourceCropAloeLeafSmallBundleDesc,items,item,"A bundle of 120 Aloe leaves which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropCoffeeBeansSmallBundle,items,item,"Small Coffee Bundle"
resourceCropCoffeeBeansSmallBundleDesc,items,item,"A bundle of 120 scoops of Coffee which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropChrysanthemumPlantSmallBundle,items,item,"Small Chrysanthemum Bundle"
resourceCropChrysanthemumPlantSmallBundleDesc,items,item,"A bundle of 120 Chrysanthemum flowers which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropCornSmallBundle,items,item,"Small Corn Bundle"
foodCropCornSmallBundleDesc,items,item,"A bundle of 120 ears of Corn which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropCottonPlantSmallBundle,items,item,"Small Cotton Cotton"
resourceCropCottonPlantSmallBundleDesc,items,item,"A bundle of 120 units of Cotton which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropGoldenrodPlantSmallBundle,items,item,"Small Goldenrod Bundle"
resourceCropGoldenrodPlantSmallBundleDesc,items,item,"A bundle of 120 Goldenrod flowers which can be grown in a [ff8000]Hydroponic Wick[-]."
resourceCropHopsFlowerSmallBundle,items,item,"Small Hops Bundle"
resourceCropHopsFlowerSmallBundleDesc,items,item,"A bundle of 120 Hops which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropMushroomsSmallBundle,items,item,"Small Mushroom Bundle"
foodCropMushroomsSmallBundleDesc,items,item,"A bucket of 20 Mushrooms which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropPotatoSmallBundle,items,item,"Small Potato Bundle"
foodCropPotatoSmallBundleDesc,items,item,"A sack of 20 Potatoes which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropPumpkinSmallBundle,items,item,"Small Pumpkin Bundle"
foodCropPumpkinSmallBundleDesc,items,item,"A batch of 20 Pumpkins which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropYuccaFruitSmallBundle,items,item,"Small Yucca Bundle"
foodCropYuccaFruitSmallBundleDesc,items,item,"A bundle of 120 Yucca which can be grown in a [ff8000]Hydroponic Wick[-]."
foodCropGraceCornSmallBundle,items,item,"Small Super Corn Bundle"
foodCropGraceCornSmallBundleDesc,items,item,"A bundle of 120 ears of Super Corn which can be grown in a [ff8000]Hydroponic Wick[-]."

foodCropBlueberriesLargeBundle,items,item,"Large Blueberry Bundle"
foodCropBlueberriesLargeBundleDesc,items,item,"A bundle of 288 Blueberries which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropAloeLeafLargeBundle,items,item,"Large Aloe Bundle"
resourceCropAloeLeafLargeBundleDesc,items,item,"A bundle of 288 Aloe leaves which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropCoffeeBeansLargeBundle,items,item,"Large Coffee Bundle"
resourceCropCoffeeBeansLargeBundleDesc,items,item,"A bundle of 288 scoops of Coffee which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropChrysanthemumPlantLargeBundle,items,item,"Large Chrysanthemum Bundle"
resourceCropChrysanthemumPlantLargeBundleDesc,items,item,"A bundle of 288 Chrysanthemum flowers which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropCornLargeBundle,items,item,"Large Corn Bundle"
foodCropCornLargeBundleDesc,items,item,"A bundle of 288 ears of Corn which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropCottonPlantLargeBundle,items,item,"Large Cotton Cotton"
resourceCropCottonPlantLargeBundleDesc,items,item,"A bundle of 288 units of Cotton which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropGoldenrodPlantLargeBundle,items,item,"Large Goldenrod Bundle"
resourceCropGoldenrodPlantLargeBundleDesc,items,item,"A bundle of 288 Goldenrod flowers which can be grown in a [ff8000]Hydroponic Rack[-]."
resourceCropHopsFlowerLargeBundle,items,item,"Large Hops Bundle"
resourceCropHopsFlowerLargeBundleDesc,items,item,"A bundle of 288 Hops which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropMushroomsLargeBundle,items,item,"Large Mushroom Bundle"
foodCropMushroomsLargeBundleDesc,items,item,"A bucket of 48 Mushrooms which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropPotatoLargeBundle,items,item,"Large Potato Bundle"
foodCropPotatoLargeBundleDesc,items,item,"A sack of 48 Potatoes which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropPumpkinLargeBundle,items,item,"Large Pumpkin Bundle"
foodCropPumpkinLargeBundleDesc,items,item,"A batch of 48 Pumpkins which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropYuccaFruitLargeBundle,items,item,"Large Yucca Bundle"
foodCropYuccaFruitLargeBundleDesc,items,item,"A bundle of 288 Yucca which can be grown in a [ff8000]Hydroponic Rack[-]."
foodCropGraceCornLargeBundle,items,item,"Large Super Corn Bundle"
foodCropGraceCornLargeBundleDesc,items,item,"A bundle of 288 ears of Super Corn which can be grown in a [ff8000]Hydroponic Rack[-]."
